respondent,years_coding,years_coding_prof
299,12-14 years,6-8 years
302,15-17 years,15-17 years
303,6-8 years,3-5 years
304,9-11 years,3-5 years
305,30 or more years,30 or more years
306,15-17 years,9-11 years
307,6-8 years,0-2 years
308,21-23 years,21-23 years
310,6-8 years,NA
313,3-5 years,0-2 years
315,6-8 years,NA
316,9-11 years,NA
317,18-20 years,9-11 years
318,12-14 years,6-8 years
319,6-8 years,3-5 years
320,3-5 years,3-5 years
321,6-8 years,6-8 years
323,3-5 years,3-5 years
324,6-8 years,0-2 years
325,3-5 years,NA
327,0-2 years,0-2 years
328,24-26 years,21-23 years
330,9-11 years,NA
332,3-5 years,0-2 years
333,12-14 years,9-11 years
334,6-8 years,0-2 years
337,9-11 years,9-11 years
338,9-11 years,9-11 years
340,3-5 years,3-5 years
342,9-11 years,6-8 years
343,15-17 years,12-14 years
344,12-14 years,3-5 years
345,6-8 years,NA
346,15-17 years,12-14 years
348,3-5 years,0-2 years
350,15-17 years,6-8 years
351,9-11 years,0-2 years
352,15-17 years,9-11 years
354,9-11 years,9-11 years
355,3-5 years,3-5 years
357,6-8 years,3-5 years
359,3-5 years,3-5 years
360,6-8 years,6-8 years
361,3-5 years,3-5 years
362,3-5 years,3-5 years
363,9-11 years,9-11 years
364,15-17 years,6-8 years
365,9-11 years,3-5 years
366,12-14 years,6-8 years
367,9-11 years,3-5 years
368,3-5 years,NA
369,6-8 years,NA
371,6-8 years,3-5 years
372,0-2 years,0-2 years
373,12-14 years,9-11 years
374,21-23 years,21-23 years
377,6-8 years,3-5 years
378,21-23 years,3-5 years
379,9-11 years,3-5 years
380,6-8 years,6-8 years
382,3-5 years,0-2 years
383,3-5 years,3-5 years
384,9-11 years,0-2 years
387,3-5 years,0-2 years
388,3-5 years,3-5 years
389,3-5 years,3-5 years
390,6-8 years,3-5 years
391,3-5 years,3-5 years
393,6-8 years,3-5 years
395,3-5 years,3-5 years
396,3-5 years,3-5 years
397,3-5 years,0-2 years
398,15-17 years,15-17 years
399,12-14 years,9-11 years
400,9-11 years,6-8 years
401,18-20 years,NA
402,3-5 years,3-5 years
403,3-5 years,0-2 years
404,3-5 years,3-5 years
405,6-8 years,3-5 years
407,15-17 years,NA
409,12-14 years,6-8 years
410,18-20 years,21-23 years
412,15-17 years,6-8 years
413,3-5 years,3-5 years
415,3-5 years,0-2 years
416,6-8 years,3-5 years
418,3-5 years,0-2 years
419,18-20 years,15-17 years
420,3-5 years,NA
421,6-8 years,NA
422,0-2 years,0-2 years
424,12-14 years,6-8 years
425,3-5 years,NA
426,6-8 years,3-5 years
427,12-14 years,6-8 years
428,9-11 years,3-5 years
430,12-14 years,9-11 years
431,9-11 years,NA
432,9-11 years,9-11 years
433,3-5 years,3-5 years
434,30 or more years,30 or more years
435,3-5 years,0-2 years
436,3-5 years,0-2 years
438,15-17 years,6-8 years
439,6-8 years,3-5 years
440,3-5 years,3-5 years
443,12-14 years,9-11 years
444,24-26 years,18-20 years
445,30 or more years,21-23 years
446,21-23 years,18-20 years
447,3-5 years,3-5 years
448,6-8 years,3-5 years
449,9-11 years,9-11 years
452,3-5 years,3-5 years
453,9-11 years,3-5 years
455,3-5 years,0-2 years
456,6-8 years,NA
458,0-2 years,0-2 years
460,0-2 years,0-2 years
461,3-5 years,3-5 years
462,27-29 years,12-14 years
464,6-8 years,0-2 years
465,6-8 years,3-5 years
466,3-5 years,3-5 years
467,6-8 years,0-2 years
468,18-20 years,9-11 years
469,12-14 years,3-5 years
470,21-23 years,15-17 years
471,9-11 years,3-5 years
472,15-17 years,12-14 years
473,0-2 years,NA
474,12-14 years,NA
475,3-5 years,3-5 years
477,3-5 years,0-2 years
479,6-8 years,NA
481,15-17 years,9-11 years
483,9-11 years,3-5 years
484,9-11 years,6-8 years
486,6-8 years,3-5 years
487,15-17 years,12-14 years
488,6-8 years,3-5 years
490,9-11 years,3-5 years
491,15-17 years,12-14 years
492,3-5 years,3-5 years
495,6-8 years,3-5 years
497,30 or more years,18-20 years
499,3-5 years,NA
501,9-11 years,6-8 years
502,15-17 years,9-11 years
506,6-8 years,0-2 years
507,6-8 years,3-5 years
508,3-5 years,0-2 years
509,18-20 years,18-20 years
510,3-5 years,0-2 years
513,6-8 years,0-2 years
514,9-11 years,0-2 years
515,24-26 years,24-26 years
516,3-5 years,3-5 years
518,6-8 years,6-8 years
519,9-11 years,3-5 years
520,15-17 years,6-8 years
521,12-14 years,9-11 years
522,6-8 years,3-5 years
523,12-14 years,9-11 years
524,15-17 years,15-17 years
525,6-8 years,3-5 years
526,15-17 years,12-14 years
528,12-14 years,9-11 years
530,6-8 years,NA
531,9-11 years,6-8 years
533,30 or more years,30 or more years
534,9-11 years,6-8 years
535,12-14 years,6-8 years
536,0-2 years,0-2 years
538,6-8 years,3-5 years
540,3-5 years,NA
541,9-11 years,3-5 years
542,9-11 years,NA
543,6-8 years,3-5 years
545,3-5 years,3-5 years
546,6-8 years,3-5 years
547,9-11 years,NA
548,9-11 years,0-2 years
549,6-8 years,0-2 years
550,9-11 years,9-11 years
551,12-14 years,6-8 years
553,6-8 years,NA
554,9-11 years,3-5 years
555,6-8 years,0-2 years
556,12-14 years,NA
557,6-8 years,3-5 years
558,6-8 years,3-5 years
560,6-8 years,3-5 years
562,0-2 years,NA
563,9-11 years,6-8 years
564,6-8 years,6-8 years
565,3-5 years,3-5 years
566,3-5 years,3-5 years
567,3-5 years,6-8 years
569,12-14 years,6-8 years
570,3-5 years,0-2 years
573,3-5 years,NA
574,12-14 years,6-8 years
575,15-17 years,3-5 years
576,9-11 years,3-5 years
579,6-8 years,0-2 years
580,3-5 years,NA
583,3-5 years,3-5 years
584,18-20 years,9-11 years
585,12-14 years,6-8 years
586,18-20 years,12-14 years
587,24-26 years,15-17 years
588,9-11 years,NA
589,30 or more years,30 or more years
590,9-11 years,NA
591,3-5 years,3-5 years
592,9-11 years,3-5 years
593,6-8 years,3-5 years
594,12-14 years,12-14 years
596,12-14 years,12-14 years
597,30 or more years,24-26 years
599,3-5 years,3-5 years
600,27-29 years,24-26 years
601,6-8 years,3-5 years
602,15-17 years,15-17 years
606,18-20 years,18-20 years
607,6-8 years,3-5 years
608,6-8 years,0-2 years
609,18-20 years,18-20 years
611,30 or more years,18-20 years
613,12-14 years,9-11 years
614,21-23 years,21-23 years
615,15-17 years,15-17 years
616,30 or more years,15-17 years
618,3-5 years,NA
619,6-8 years,6-8 years
620,6-8 years,3-5 years
621,9-11 years,3-5 years
622,3-5 years,0-2 years
623,3-5 years,0-2 years
624,6-8 years,0-2 years
626,15-17 years,15-17 years
628,21-23 years,30 or more years
629,0-2 years,0-2 years
630,12-14 years,6-8 years
631,6-8 years,3-5 years
632,9-11 years,9-11 years
633,12-14 years,6-8 years
634,3-5 years,3-5 years
638,0-2 years,0-2 years
639,9-11 years,6-8 years
640,6-8 years,6-8 years
642,0-2 years,0-2 years
643,3-5 years,3-5 years
645,9-11 years,3-5 years
646,3-5 years,0-2 years
647,18-20 years,NA
651,24-26 years,0-2 years
652,3-5 years,3-5 years
654,6-8 years,3-5 years
655,3-5 years,NA
656,18-20 years,18-20 years
657,30 or more years,30 or more years
659,9-11 years,NA
661,6-8 years,NA
662,0-2 years,0-2 years
663,9-11 years,0-2 years
664,12-14 years,3-5 years
665,21-23 years,21-23 years
666,0-2 years,0-2 years
667,3-5 years,3-5 years
669,18-20 years,15-17 years
670,3-5 years,3-5 years
671,18-20 years,15-17 years
672,6-8 years,3-5 years
674,9-11 years,0-2 years
675,9-11 years,3-5 years
676,9-11 years,3-5 years
677,6-8 years,3-5 years
678,6-8 years,6-8 years
679,6-8 years,3-5 years
681,6-8 years,6-8 years
682,3-5 years,3-5 years
685,3-5 years,0-2 years
686,3-5 years,3-5 years
688,6-8 years,NA
689,18-20 years,15-17 years
691,9-11 years,3-5 years
692,3-5 years,3-5 years
693,0-2 years,0-2 years
694,15-17 years,3-5 years
695,9-11 years,6-8 years
697,6-8 years,3-5 years
699,0-2 years,0-2 years
700,3-5 years,3-5 years
701,3-5 years,3-5 years
704,3-5 years,3-5 years
705,6-8 years,0-2 years
706,12-14 years,6-8 years
708,3-5 years,3-5 years
709,0-2 years,0-2 years
710,6-8 years,6-8 years
711,3-5 years,NA
712,0-2 years,0-2 years
713,6-8 years,3-5 years
714,6-8 years,3-5 years
715,12-14 years,6-8 years
718,3-5 years,0-2 years
719,15-17 years,6-8 years
720,15-17 years,9-11 years
721,3-5 years,0-2 years
722,6-8 years,3-5 years
723,6-8 years,6-8 years
725,9-11 years,3-5 years
726,12-14 years,12-14 years
727,9-11 years,3-5 years
728,18-20 years,9-11 years
729,12-14 years,9-11 years
730,9-11 years,3-5 years
731,3-5 years,3-5 years
732,15-17 years,9-11 years
733,0-2 years,0-2 years
734,27-29 years,18-20 years
735,9-11 years,NA
736,3-5 years,0-2 years
738,6-8 years,6-8 years
739,12-14 years,12-14 years
740,0-2 years,0-2 years
742,3-5 years,3-5 years
743,12-14 years,12-14 years
744,6-8 years,6-8 years
746,9-11 years,6-8 years
747,0-2 years,NA
749,0-2 years,0-2 years
750,15-17 years,9-11 years
751,30 or more years,24-26 years
753,27-29 years,27-29 years
754,9-11 years,6-8 years
755,18-20 years,15-17 years
756,21-23 years,12-14 years
758,6-8 years,NA
759,3-5 years,0-2 years
760,15-17 years,9-11 years
761,3-5 years,0-2 years
762,9-11 years,3-5 years
763,24-26 years,21-23 years
764,24-26 years,21-23 years
766,6-8 years,3-5 years
767,6-8 years,NA
768,12-14 years,9-11 years
769,3-5 years,3-5 years
770,18-20 years,6-8 years
771,0-2 years,0-2 years
772,18-20 years,15-17 years
773,6-8 years,3-5 years
774,12-14 years,NA
775,21-23 years,21-23 years
777,21-23 years,3-5 years
778,3-5 years,3-5 years
780,6-8 years,NA
781,6-8 years,NA
782,15-17 years,6-8 years
784,6-8 years,3-5 years
785,3-5 years,0-2 years
786,6-8 years,0-2 years
787,3-5 years,0-2 years
788,3-5 years,3-5 years
790,9-11 years,3-5 years
791,3-5 years,3-5 years
794,3-5 years,0-2 years
795,9-11 years,3-5 years
797,6-8 years,6-8 years
798,3-5 years,3-5 years
799,0-2 years,0-2 years
800,6-8 years,3-5 years
801,30 or more years,24-26 years
802,9-11 years,6-8 years
804,6-8 years,0-2 years
805,3-5 years,3-5 years
806,6-8 years,NA
807,9-11 years,3-5 years
808,18-20 years,18-20 years
809,6-8 years,6-8 years
810,12-14 years,12-14 years
811,3-5 years,3-5 years
812,15-17 years,12-14 years
814,9-11 years,6-8 years
816,6-8 years,3-5 years
817,3-5 years,3-5 years
818,12-14 years,12-14 years
820,3-5 years,3-5 years
821,15-17 years,NA
822,3-5 years,3-5 years
823,0-2 years,NA
826,18-20 years,12-14 years
828,21-23 years,18-20 years
829,0-2 years,NA
831,0-2 years,0-2 years
832,6-8 years,3-5 years
834,12-14 years,6-8 years
835,3-5 years,3-5 years
838,3-5 years,0-2 years
839,3-5 years,NA
840,0-2 years,0-2 years
841,9-11 years,3-5 years
842,15-17 years,15-17 years
843,0-2 years,0-2 years
845,6-8 years,3-5 years
847,6-8 years,9-11 years
848,3-5 years,3-5 years
850,18-20 years,18-20 years
851,15-17 years,6-8 years
852,9-11 years,6-8 years
853,18-20 years,NA
854,6-8 years,3-5 years
856,6-8 years,3-5 years
857,3-5 years,3-5 years
860,6-8 years,3-5 years
861,15-17 years,9-11 years
862,0-2 years,0-2 years
863,9-11 years,NA
865,6-8 years,3-5 years
868,18-20 years,18-20 years
869,15-17 years,6-8 years
872,18-20 years,9-11 years
873,3-5 years,NA
874,6-8 years,0-2 years
876,3-5 years,3-5 years
879,12-14 years,9-11 years
881,27-29 years,18-20 years
882,12-14 years,6-8 years
883,6-8 years,6-8 years
884,3-5 years,3-5 years
885,18-20 years,15-17 years
887,3-5 years,NA
890,21-23 years,15-17 years
892,6-8 years,3-5 years
895,3-5 years,0-2 years
896,30 or more years,30 or more years
897,6-8 years,3-5 years
898,6-8 years,0-2 years
900,18-20 years,18-20 years
902,12-14 years,3-5 years
903,30 or more years,NA
904,9-11 years,NA
905,3-5 years,3-5 years
906,27-29 years,15-17 years
907,21-23 years,NA
908,12-14 years,3-5 years
909,9-11 years,9-11 years
910,3-5 years,NA
912,0-2 years,NA
913,3-5 years,3-5 years
916,3-5 years,NA
922,3-5 years,3-5 years
923,3-5 years,3-5 years
924,9-11 years,0-2 years
925,18-20 years,15-17 years
926,30 or more years,NA
927,6-8 years,3-5 years
928,9-11 years,6-8 years
929,12-14 years,6-8 years
930,3-5 years,0-2 years
931,3-5 years,3-5 years
932,0-2 years,0-2 years
933,18-20 years,9-11 years
934,15-17 years,NA
935,0-2 years,0-2 years
936,9-11 years,6-8 years
937,6-8 years,0-2 years
939,3-5 years,NA
940,12-14 years,6-8 years
941,15-17 years,9-11 years
942,6-8 years,0-2 years
943,3-5 years,NA
944,3-5 years,0-2 years
946,3-5 years,3-5 years
947,9-11 years,6-8 years
948,18-20 years,18-20 years
949,9-11 years,3-5 years
951,0-2 years,0-2 years
952,6-8 years,3-5 years
954,18-20 years,12-14 years
955,9-11 years,NA
957,6-8 years,3-5 years
958,24-26 years,12-14 years
961,12-14 years,9-11 years
962,9-11 years,6-8 years
963,9-11 years,6-8 years
964,15-17 years,6-8 years
966,3-5 years,0-2 years
967,9-11 years,3-5 years
968,15-17 years,9-11 years
969,12-14 years,6-8 years
971,0-2 years,0-2 years
972,0-2 years,0-2 years
974,3-5 years,NA
975,3-5 years,0-2 years
980,3-5 years,NA
981,12-14 years,NA
983,3-5 years,0-2 years
984,3-5 years,3-5 years
986,3-5 years,3-5 years
988,3-5 years,0-2 years
990,30 or more years,NA
991,3-5 years,3-5 years
997,3-5 years,3-5 years
998,9-11 years,NA
999,18-20 years,0-2 years
1000,0-2 years,0-2 years
1001,0-2 years,NA
1006,3-5 years,3-5 years
1007,21-23 years,21-23 years
1008,9-11 years,0-2 years
1009,0-2 years,0-2 years
1010,15-17 years,15-17 years
1011,0-2 years,0-2 years
1013,18-20 years,NA
1015,30 or more years,6-8 years
1016,9-11 years,6-8 years
1018,6-8 years,3-5 years
1020,3-5 years,3-5 years
1021,9-11 years,3-5 years
1023,6-8 years,3-5 years
1024,6-8 years,6-8 years
1025,9-11 years,9-11 years
1027,3-5 years,0-2 years
1028,3-5 years,NA
1030,9-11 years,3-5 years
1032,30 or more years,NA
1033,15-17 years,3-5 years
1034,6-8 years,3-5 years
1035,3-5 years,3-5 years
1036,0-2 years,0-2 years
1037,12-14 years,9-11 years
1038,18-20 years,18-20 years
1039,6-8 years,3-5 years
1040,3-5 years,0-2 years
1041,12-14 years,9-11 years
1042,3-5 years,3-5 years
1044,3-5 years,3-5 years
1045,3-5 years,3-5 years
1047,9-11 years,3-5 years
1050,3-5 years,0-2 years
1051,21-23 years,15-17 years
1053,3-5 years,0-2 years
1054,0-2 years,0-2 years
1056,12-14 years,9-11 years
1057,9-11 years,9-11 years
1058,0-2 years,0-2 years
1059,12-14 years,12-14 years
1060,6-8 years,NA
1061,6-8 years,0-2 years
1062,3-5 years,3-5 years
1063,3-5 years,3-5 years
1065,3-5 years,3-5 years
1067,3-5 years,NA
1070,0-2 years,0-2 years
1071,12-14 years,NA
1072,3-5 years,NA
1074,9-11 years,0-2 years
1075,3-5 years,0-2 years
1076,6-8 years,6-8 years
1077,21-23 years,15-17 years
1078,3-5 years,NA
1079,0-2 years,NA
1080,12-14 years,NA
1083,24-26 years,12-14 years
1084,12-14 years,3-5 years
1085,0-2 years,NA
1086,18-20 years,12-14 years
1089,6-8 years,3-5 years
1091,3-5 years,0-2 years
1094,3-5 years,0-2 years
1095,18-20 years,3-5 years
1098,18-20 years,18-20 years
1099,12-14 years,6-8 years
1100,6-8 years,3-5 years
1102,0-2 years,0-2 years
1103,6-8 years,3-5 years
1105,15-17 years,15-17 years
1106,3-5 years,NA
1107,9-11 years,9-11 years
1108,3-5 years,NA
1109,30 or more years,21-23 years
1110,3-5 years,0-2 years
1111,3-5 years,3-5 years
1112,6-8 years,0-2 years
1113,3-5 years,3-5 years
1117,15-17 years,12-14 years
1118,12-14 years,12-14 years
1119,15-17 years,0-2 years
1121,9-11 years,3-5 years
1122,0-2 years,0-2 years
1123,6-8 years,3-5 years
1124,9-11 years,9-11 years
1125,6-8 years,6-8 years
1127,3-5 years,0-2 years
1128,6-8 years,3-5 years
1129,6-8 years,0-2 years
1130,9-11 years,6-8 years
1131,15-17 years,3-5 years
1132,3-5 years,0-2 years
1133,12-14 years,9-11 years
1135,3-5 years,0-2 years
1137,9-11 years,3-5 years
1138,6-8 years,0-2 years
1139,21-23 years,NA
1141,21-23 years,18-20 years
1142,6-8 years,6-8 years
1143,3-5 years,0-2 years
1144,3-5 years,0-2 years
1145,3-5 years,0-2 years
1146,6-8 years,3-5 years
1147,0-2 years,NA
1148,6-8 years,3-5 years
1149,9-11 years,9-11 years
1150,3-5 years,0-2 years
1151,6-8 years,0-2 years
1152,9-11 years,6-8 years
1153,24-26 years,21-23 years
1155,9-11 years,9-11 years
1156,3-5 years,3-5 years
1157,24-26 years,24-26 years
1159,6-8 years,3-5 years
1160,6-8 years,0-2 years
1162,6-8 years,3-5 years
1163,0-2 years,0-2 years
1164,15-17 years,15-17 years
1166,3-5 years,3-5 years
1172,0-2 years,0-2 years
1174,12-14 years,NA
1178,18-20 years,9-11 years
1179,3-5 years,0-2 years
1180,3-5 years,0-2 years
1181,6-8 years,0-2 years
1183,0-2 years,NA
1185,24-26 years,18-20 years
1187,21-23 years,12-14 years
1188,0-2 years,0-2 years
1189,15-17 years,9-11 years
1190,12-14 years,12-14 years
1192,6-8 years,6-8 years
1194,3-5 years,0-2 years
1195,15-17 years,9-11 years
1196,18-20 years,NA
1197,12-14 years,9-11 years
1198,6-8 years,NA
1201,3-5 years,3-5 years
1202,15-17 years,6-8 years
1205,0-2 years,0-2 years
1206,6-8 years,0-2 years
1207,12-14 years,0-2 years
1208,3-5 years,3-5 years
1209,24-26 years,21-23 years
1210,9-11 years,6-8 years
1211,15-17 years,15-17 years
1212,0-2 years,0-2 years
1213,9-11 years,3-5 years
1215,6-8 years,6-8 years
1216,18-20 years,12-14 years
1217,9-11 years,3-5 years
1219,6-8 years,3-5 years
1221,6-8 years,3-5 years
1222,3-5 years,0-2 years
1223,3-5 years,3-5 years
1224,6-8 years,0-2 years
1225,30 or more years,30 or more years
1227,12-14 years,9-11 years
1229,3-5 years,3-5 years
1230,0-2 years,0-2 years
1231,6-8 years,0-2 years
1232,3-5 years,3-5 years
1233,0-2 years,0-2 years
1236,6-8 years,0-2 years
1238,0-2 years,0-2 years
1239,0-2 years,0-2 years
1240,9-11 years,9-11 years
1241,30 or more years,30 or more years
1242,18-20 years,18-20 years
1243,6-8 years,3-5 years
1244,18-20 years,3-5 years
1245,3-5 years,NA
1246,9-11 years,9-11 years
1247,0-2 years,0-2 years
1248,9-11 years,9-11 years
1249,15-17 years,12-14 years
1250,21-23 years,12-14 years
1251,6-8 years,NA
1253,6-8 years,0-2 years
1254,12-14 years,6-8 years
1255,6-8 years,9-11 years
1256,12-14 years,0-2 years
1258,3-5 years,0-2 years
1259,3-5 years,0-2 years
1260,3-5 years,3-5 years
1262,3-5 years,3-5 years
1263,18-20 years,NA
1264,3-5 years,3-5 years
1265,15-17 years,9-11 years
1268,6-8 years,3-5 years
1269,6-8 years,3-5 years
1270,3-5 years,3-5 years
1273,9-11 years,NA
1274,12-14 years,9-11 years
1275,9-11 years,0-2 years
1276,18-20 years,18-20 years
1278,6-8 years,6-8 years
1279,15-17 years,12-14 years
1280,18-20 years,15-17 years
1282,9-11 years,9-11 years
1283,18-20 years,15-17 years
1284,27-29 years,15-17 years
1285,0-2 years,0-2 years
1286,27-29 years,NA
1288,3-5 years,3-5 years
1289,9-11 years,6-8 years
1290,15-17 years,6-8 years
1291,15-17 years,NA
1292,9-11 years,3-5 years
1293,24-26 years,NA
1294,12-14 years,3-5 years
1295,18-20 years,9-11 years
1296,3-5 years,3-5 years
1297,6-8 years,6-8 years
1298,18-20 years,15-17 years
1299,12-14 years,9-11 years
1303,21-23 years,15-17 years
1306,6-8 years,3-5 years
1307,0-2 years,0-2 years
1309,9-11 years,3-5 years
1310,12-14 years,6-8 years
1311,6-8 years,3-5 years
1312,15-17 years,9-11 years
1313,18-20 years,15-17 years
1314,9-11 years,3-5 years
1315,3-5 years,0-2 years
1316,9-11 years,3-5 years
1317,6-8 years,6-8 years
1318,3-5 years,3-5 years
1319,3-5 years,3-5 years
1320,3-5 years,0-2 years
1321,3-5 years,0-2 years
1322,3-5 years,NA
1326,3-5 years,0-2 years
1327,6-8 years,6-8 years
1328,0-2 years,NA
1329,21-23 years,3-5 years
1331,9-11 years,3-5 years
1333,9-11 years,6-8 years
1334,0-2 years,0-2 years
1335,3-5 years,0-2 years
1336,6-8 years,6-8 years
1337,3-5 years,3-5 years
1338,0-2 years,0-2 years
1339,30 or more years,30 or more years
1340,9-11 years,3-5 years
1341,30 or more years,30 or more years
1342,9-11 years,6-8 years
1343,3-5 years,0-2 years
1344,12-14 years,6-8 years
1345,6-8 years,3-5 years
1346,12-14 years,12-14 years
1348,6-8 years,0-2 years
1350,18-20 years,6-8 years
1351,12-14 years,6-8 years
1352,9-11 years,3-5 years
1354,6-8 years,3-5 years
1356,0-2 years,0-2 years
1357,15-17 years,12-14 years
1360,6-8 years,NA
1361,3-5 years,3-5 years
1362,3-5 years,3-5 years
1365,3-5 years,0-2 years
1367,0-2 years,NA
1368,3-5 years,0-2 years
1370,3-5 years,0-2 years
1371,12-14 years,6-8 years
1374,3-5 years,0-2 years
1376,3-5 years,0-2 years
1377,21-23 years,18-20 years
1378,0-2 years,NA
1380,3-5 years,3-5 years
1381,12-14 years,12-14 years
1382,9-11 years,3-5 years
1383,18-20 years,18-20 years
1384,9-11 years,9-11 years
1385,6-8 years,NA
1386,3-5 years,NA
1387,6-8 years,0-2 years
1388,12-14 years,3-5 years
1389,6-8 years,NA
1390,6-8 years,0-2 years
1391,9-11 years,3-5 years
1393,6-8 years,3-5 years
1395,3-5 years,0-2 years
1398,3-5 years,0-2 years
1400,15-17 years,15-17 years
1401,12-14 years,6-8 years
1402,3-5 years,NA
1405,12-14 years,9-11 years
1406,18-20 years,12-14 years
1408,0-2 years,NA
1409,6-8 years,NA
1410,18-20 years,12-14 years
1412,3-5 years,3-5 years
1413,6-8 years,6-8 years
